,Avila Beach,Oceano,Morro Bay,Pismo Beach,Bradley,Grover Beach,Atascadero,Buellton,Santa Ynez,Lockwood,Cambria,Guadalupe,Cayucos,Templeton,Arroyo Grande,Santa Maria-Orcutt,Solvang,Los Osos,Nipomo,Coalinga,New Cuyama,Los Alamos,Paso Robles,Lompoc,San Luis Obispo,San Miguel,Bakersfield,MLS,Price,Bedrooms,Bathrooms,Size,Price/SQ.Ft
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146310,129900.0,3,1,1042,124.66
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,146320,375000.0,3,3,1519,246.87
92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146423,599000.0,3,2,2774,215.93
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,146496,235000.0,3,2,1340,175.37
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146544,148900.0,5,2,1064,139.94
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,146581,749000.0,3,2,2145,349.18
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,146649,183000.0,3,1,888,206.08
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146667,232600.0,3,3,1582,147.03
100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146773,520000.0,3,2,1680,309.52
102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146797,275000.0,0,1,398,690.95
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146888,225000.0,4,3,1940,115.98
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146986,161900.0,3,2,1200,134.92
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147094,249999.0,3,3,2013,124.19
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147167,208000.0,2,1,1267,164.17
107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147214,135000.0,3,1,1100,122.73
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,147216,385000.0,2,3,1389,277.18
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,147374,229900.0,3,2,1458,157.68
114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147440,240000.0,2,2,1020,235.29
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147570,399000.0,4,3,2800,142.5
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147586,385000.0,3,2,2000,192.5
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,147611,399000.0,3,2,1220,327.05
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147620,269000.0,3,3,1780,151.12
121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147654,449000.0,3,3,2120,211.79
